ID	parentID	nameID	accordingToID
tc-1		tn-1	tc-1
tc-2	tc-1	tn-3	tc-1
tc-3	tc-1	tn-5	tc-1
tc-4	tc-3	tn-6	tc-1
tc-5	tc-3	tn-10	tc-1
tc-6	tc-3	tn-11	tc-1
tc-7	tc-3	tn-12	tc-1
tc-8	tc-3	tn-14	tc-1
tc-9	tc-3	tn-18	tc-1
tc-10	tc-3	tn-19	tc-1
tc-11	tc-3	tn-22	tc-1
tc-12	tc-3	tn-24	tc-1
tc-13	tc-3	tn-28	tc-1
tc-14		tn-1	tc-2
tc-15	tc-14	tn-5	tc-2
tc-16	tc-15	tn-6	tc-2
tc-17	tc-15	tn-10	tc-2
tc-18	tc-15	tn-28	tc-2
tc-19	tc-15	tn-2	tc-2
tc-20	tc-15	tn-12	tc-2
tc-21	tc-15	tn-14	tc-2
tc-22	tc-15	tn-31	tc-2
tc-23	tc-15	tn-19	tc-2
tc-24	tc-15	tn-36	tc-2
tc-25		tn-1	tc-3
tc-26	tc-25	tn-5	tc-3
tc-27	tc-25	tn-3	tc-3
tc-28	tc-25	tn-9	tc-3
tc-29	tc-25	tn-29	tc-3
tc-30	tc-25	tn-13	tc-3
tc-31	tc-25	tn-32	tc-3
tc-32	tc-25	tn-35	tc-3
tc-33	tc-25	tn-20	tc-3
tc-34		tn-1	tc-4
tc-35	tc-34	tn-5	tc-4
tc-36	tc-35	tn-28	tc-4
tc-37	tc-35	tn-10	tc-4
tc-38	tc-35	tn-6	tc-4
tc-39	tc-34	tn-3	tc-4
tc-40	tc-34	tn-13	tc-4
tc-41	tc-40	tn-15	tc-4
tc-42	tc-40	tn-33	tc-4
tc-43	tc-34	tn-35	tc-4
tc-44	tc-43	tn-37	tc-4
tc-45	tc-43	tn-21	tc-4
