taxonID	type	relatedTaxonID
tc-34	equals	tc-25
tc-34	equals	tc-14
tc-34	equals	tc-1
tc-35	includes	tc-26
tc-35	includes	tc-29
tc-35	includedIn	tc-15
tc-35	includes	tc-16
tc-35	includes	tc-17
tc-35	includes	tc-18
tc-35	includes	tc-20
tc-35	includes	tc-28
tc-35	includedIn	tc-3
tc-35	includes	tc-4
tc-35	includes	tc-5
tc-35	includes	tc-6
tc-35	includes	tc-7
tc-35	includes	tc-13
tc-36	equals	tc-29
tc-36	includedIn	tc-15
tc-36	equals	tc-18
tc-36	includedIn	tc-3
tc-36	equals	tc-13
tc-37	equals	tc-28
tc-37	includedIn	tc-15
tc-37	equals	tc-17
tc-37	includedIn	tc-3
tc-37	includes	tc-5
tc-37	includes	tc-9
tc-38	equals	tc-26
tc-38	includedIn	tc-15
tc-38	includes	tc-16
tc-38	includes	tc-20
tc-38	includedIn	tc-3
tc-38	includes	tc-4
tc-38	includes	tc-6
tc-38	includes	tc-7
tc-39	equals	tc-27
tc-39	includedIn	tc-15
tc-39	equals	tc-19
tc-39	equals	tc-2
tc-40	includes	tc-30
tc-40	includes	tc-31
tc-40	includedIn	tc-15
tc-40	includes	tc-21
tc-40	includes	tc-22
tc-40	equals	tc-8
tc-40	includedIn	tc-3
tc-41	equals	tc-30
tc-41	includedIn	tc-15
tc-41	equals	tc-21
tc-41	includedIn	tc-3
tc-41	includedIn	tc-8
tc-42	equals	tc-31
tc-42	includedIn	tc-15
tc-42	equals	tc-22
tc-42	includedIn	tc-3
tc-42	includedIn	tc-8
tc-43	includes	tc-32
tc-43	includes	tc-33
tc-43	includedIn	tc-3
tc-43	includes	tc-10
tc-43	includes	tc-11
tc-43	includes	tc-12
tc-44	equals	tc-32
tc-44	includedIn	tc-3
tc-44	includes	tc-11
tc-44	includes	tc-12
tc-45	equals	tc-33
tc-45	includedIn	tc-3
tc-45	equals	tc-10
