ID,taxonNameID,accordingToID,taxonConceptLabel,taxonRank,parentID
https://id.biodiversity.org.au/instance/apni/545068,https://ipni.org/n/802545-1,https://www.jstor.org/stable/23873848,Euphrasia gibbsiae sec. Barker 1982,,
https://id.biodiversity.org.au/instance/apni/713514,https://ipni.org/n/802545-1,https://id.biodiversity.org.au/reference/apni/23028,Euphrasia gibbsiae sec. Curtis 1967,,
_:tc1,https://ipni.org/n/802545-1,_:ref1,Euphrasia gibbsiae sec. Willis 1967,,
_:tc2,https://ipni.org/n/802545-1,_:ref2,Euphrasia gibbsiae sec. Cochrane & al. 1968,,
_:tc3,https://ipni.org/n/802545-1,_:ref3,Euphrasia gibbsiae sec. Harris 1970,,
_:tc4,https://ipni.org/n/802545-1,_:ref4,Euphrasia gibbsiae sec. Willis 1973,,
_:tc5,https://ipni.org/n/802545-1,_:ref5,Euphrasia gibbsiae sec. Stones & Curtis 1978,,
_:tc6,https://ipni.org/n/802619-1,https://id.biodiversity.org.au/reference/apni/23028,Euphrasia kingii sec. Curtis 1967,,
_:tc7,https://ipni.org/n/802619-1,_:ref5,Euphrasia kingii sec. Stones & Curtis 1978,,
_:tc8,https://ipni.org/n/124446-3,_:ref6,Euphrasia brownii sec. Mueller 1865,,
_:tc9,https://ipni.org/n/802876-1,_:ref7,Euphrasia striata sec. Bentham 1868,,
_:tc10,https://ipni.org/n/802876-1,_:ref8,Euphrasia striata sec. Wettstein 1896,,
_:tc11,https://ipni.org/n/802451-1,_:ref8,Euphrasia collina sec. Wettstein 1896,,
