ID,type,bibo_handle,dcterms_title,dcterms_bibliographicCitation,dcterms_creator,dcterms_date,dcterms_isPartOf,bibo_publisher,bibo_volume,bibo_issue,bibo_pageStart,bibo_pageEnd,bibo_pages,bibo_numPages,bibo_number,bibo_isbn,bibo_isbn10,bibo_isbn13,bibo_issn,bibo_doi
https://doi.org/10.15468/d9u533,bibo:Webpage,,Catalogue of the Pterophoroidea of the World,,https://orcid.org/0000-0001-6492-4016,,,https://www.gbif.org/publisher/f4ce3c03-7b38-445e-86e6-5f6b04b649d4,,,,,,,,,,,,10.15468/d9u533
https://www.biodiversitylibrary.org/page/38948425,bibo:Book,,,"Walker, F. (1864). List of the specimens of lepidopterous insects in the collection of the British Museum. Part XXX. Tineites.",,,,,,,,,,,,,,,,
_:br924543,bibo:Book,,,"Gielis, C., Franssen, M., Groenen, F., & Wangdi, K. (2022). Moths of Bhutan. 1–420.",,,,,,,,,,,,,,,,
_:br359099,bibo:Book,,,"Gielis, C., Franssen, M., Groenen, F., & Wangdi, K. (2022). Moths of Bhutan. 1–420.",,,,,,,,,,,,,,,,
https://digitalcommons.unl.edu/insectamundi/1219,bibo:AcademicArticle,,,"Matthews, D. L., Miller, J. Y., Simon, M. J., & Goss, G. (2019). Additions to the plume moth fauna of the Bahamas (Lepidoptera: Pterophoridae) with description of four new species. Insecta Mundi, 0708, 1–35.",,,,,,,,,,,,,,,,
https://digitalcommons.unl.edu/insectamundi/1219,bibo:AcademicArticle,,,"Matthews, D. L., Miller, J. Y., Simon, M. J., & Goss, G. (2019). Additions to the plume moth fauna of the Bahamas (Lepidoptera: Pterophoridae) with description of four new species. Insecta Mundi, 0708, 1–35.",,,,,,,,,,,,,,,,
_:br066714,bibo:AcademicArticle,,,"Ustjuzhanin, P., Kovtunovich V. & Streltzov, A. (2022). Review on the fauna of Pterophoridae of the Republic of Guinea (Lepidoptera: Pterophoridae). SHILAP Revista De Lepidopterología, 50(199), 435–439.",,,,,,,,,,,,,,,,
_:br251009,bibo:AcademicArticle,,,"Ustjuzhanin, P., Kovtunovich V. & Streltzov, A. (2022). Review on the fauna of Pterophoridae of the Republic of Guinea (Lepidoptera: Pterophoridae). SHILAP Revista De Lepidopterología, 50(199), 435–439.",,,,,,,,,,,,,,,,
_:br588310,bibo:AcademicArticle,,,"Pagenstecher, A. (1900). Die Lepidopterenfauna des Bismarck-Archipels. Zoologica, Stuttg., 27, 238–242.",,,,,,,,,,,,,,,,
_:br675266,bibo:AcademicArticle,,,"Pagenstecher, A. (1900). Die Lepidopterenfauna des Bismarck-Archipels. Zoologica, Stuttg., 27, 238–242.",,,,,,,,,,,,,,,,
_:br722681,bibo:AcademicArticle,,,"On the classification of the Pterophoridae. Trans. Ent. Soc. London, 1886, 1–21.",,,,,,,,,,,,,,,,
_:br372026,bibo:AcademicArticle,,,"On the classification of the Pterophoridae. Trans. Ent. Soc. London, 1886, 1–21.",,,,,,,,,,,,,,,,
_:br674554,bibo:AcademicArticle,,,"Fish, C. (1881). Pterophoridae. Can. Ent., 13, 70–74, 140–143.",,,,,,,,,,,,,,,,
_:br145398,bibo:AcademicArticle,,,"Fish, C. (1881). Pterophoridae. Can. Ent., 13, 70–74, 140–143.",,,,,,,,,,,,,,,,
_:br674064,bibo:AcademicArticle,,,"Butler, A. G. (1881). On a collection of nocturnal lepidoptera from the Hawaiian Islands. Ann. Mag. Nat. Hist. (5th Series), 7, 407–408.",,,,,,,,,,,,,,,,
_:br434506,bibo:AcademicArticle,,,"Butler, A. G. (1881). On a collection of nocturnal lepidoptera from the Hawaiian Islands. Ann. Mag. Nat. Hist. (5th Series), 7, 407–408.",,,,,,,,,,,,,,,,
https://www.biodiversitylibrary.org/page/13718569,bibo:AcademicArticle,,,"Meyrick, E. (1887). On Pyralidina from Australia and the South Pacific. Trans. Ent. Soc. London, 1887, 185–268.",,,,,,,,,,,,,,,,
https://www.biodiversitylibrary.org/page/13718569,bibo:AcademicArticle,,,"Meyrick, E. (1887). On Pyralidina from Australia and the South Pacific. Trans. Ent. Soc. London, 1887, 185–268.",,,,,,,,,,,,,,,,
https://doi.org/10.1080/09397140.2018.1540159,bibo:AcademicArticle,,,"Ustjuzhanin, P., Kovtunovich, V., Saldaitis, A., & Ustjuzhanina, A. (2019). New data on plume moths (Lepidoptera: Pterophoridae) of Oman. Zoology in the Middle East, 65:1, 75–78.",,,,,,,,,,,,,,,,
https://doi.org/10.1080/09397140.2018.1540159,bibo:AcademicArticle,,,"Ustjuzhanin, P., Kovtunovich, V., Saldaitis, A., & Ustjuzhanina, A. (2019). New data on plume moths (Lepidoptera: Pterophoridae) of Oman. Zoology in the Middle East, 65:1, 75–78.",,,,,,,,,,,,,,,,
https://doi.org/10.37828/em.2023.62.17,bibo:AcademicArticle,,,"To the plume moths fauna (Lepidoptera: Pterophoridae) of Kenya. Ecologica Montenegrina, 67, 127–138.",,,,,,,,,,,,,,,,
https://doi.org/10.37828/em.2023.62.17,bibo:AcademicArticle,,,"To the plume moths fauna (Lepidoptera: Pterophoridae) of Kenya. Ecologica Montenegrina, 67, 127–138.",,,,,,,,,,,,,,,,
_:br598064,bibo:AcademicArticle,,,"Amsel, H. G. (1935). Neue palästinensische Lepidopteren. Mitt. Zool. Mus. Berlin, 20, 271–319, 10 pl.",,,,,,,,,,,,,,,,
_:br851299,bibo:AcademicArticle,,,"Amsel, H. G. (1935). Neue palästinensische Lepidopteren. Mitt. Zool. Mus. Berlin, 20, 271–319, 10 pl.",,,,,,,,,,,,,,,,
_:br561499,bibo:Book,,,"Fabricius, J. C. (1794). Entomologia systematica emendata et aucta: secundum classes, ordines, genera, species adiectis synonymis, locis, observationibus, descriptionibus. 3(1), 1–349.",,,,,,,,,,,,,,,,
_:br960348,bibo:Book,,,"Fabricius, J. C. (1794). Entomologia systematica emendata et aucta: secundum classes, ordines, genera, species adiectis synonymis, locis, observationibus, descriptionibus. 3(1), 1–349.",,,,,,,,,,,,,,,,
https://doi.org/10.11646/zootaxa.3847.4.1,bibo:AcademicArticle,,,"Kovtunovich, V., Ustjuzhanin, P., & Murphy, R. (2014). Plume moths of Malawi (Lepidoptera: Pterophoridae). Zootaxa, 3847, 451–494.",,,,,,,,,,,,,,,,
https://doi.org/10.11646/zootaxa.3847.4.1,bibo:AcademicArticle,,,"Kovtunovich, V., Ustjuzhanin, P., & Murphy, R. (2014). Plume moths of Malawi (Lepidoptera: Pterophoridae). Zootaxa, 3847, 451–494.",,,,,,,,,,,,,,,,
https://doi.org/10.37828/em.2023.61.4,bibo:AcademicArticle,,,"Ustjuzhanin, P., & Kovtunovich, V. (2023). Plume Moths (Lepidoptera: Pterophoridae) of Ethiopia Part 3. Ecologica Montenegrina, 61, 31–42. ",,,,,,,,,,,,,,,,
https://doi.org/10.37828/em.2023.61.4,bibo:AcademicArticle,,,"Ustjuzhanin, P., & Kovtunovich, V. (2023). Plume Moths (Lepidoptera: Pterophoridae) of Ethiopia Part 3. Ecologica Montenegrina, 61, 31–42. ",,,,,,,,,,,,,,,,
_:br491087,bibo:AcademicArticle,,,"Meyrick, E. (1926). Microlepidoptera from the Galapagos Islands and Rapa. Trans. Ent. Soc. London, 74, 276.",,,,,,,,,,,,,,,,
_:br974120,bibo:AcademicArticle,,,"Meyrick, E. (1926). Microlepidoptera from the Galapagos Islands and Rapa. Trans. Ent. Soc. London, 74, 276.",,,,,,,,,,,,,,,,
https://doi.org/10.25221/fee.423.2,bibo:AcademicArticle,,,"Ustjuzhanin, P., Kovtunovich, V., Sinyaev, V. V., Evdoschenko, S. I., & Streltzov, A. N. (2021). A list of plume moths (Lepidoptera: Pterophoridae) of the fauna of Pakistan. Far Eastern Entomologist, 432, 5–8.",,,,,,,,,,,,,,,,
https://doi.org/10.25221/fee.423.2,bibo:AcademicArticle,,,"Ustjuzhanin, P., Kovtunovich, V., Sinyaev, V. V., Evdoschenko, S. I., & Streltzov, A. N. (2021). A list of plume moths (Lepidoptera: Pterophoridae) of the fauna of Pakistan. Far Eastern Entomologist, 432, 5–8.",,,,,,,,,,,,,,,,
_:br178036,bibo:AcademicArticle,,,"Ustjuzhanin, P., & Kovtunovich, V. (2017). The Pterophoridae fauna (Lepidoptera) of Thailand. Ukrainian Journal of Ecology, 7(4), 649–654.",,,,,,,,,,,,,,,,
_:br131559,bibo:AcademicArticle,,,"Ustjuzhanin, P., & Kovtunovich, V. (2017). The Pterophoridae fauna (Lepidoptera) of Thailand. Ukrainian Journal of Ecology, 7(4), 649–654.",,,,,,,,,,,,,,,,
_:br400734,bibo:Book,,,"Karsholt, O., & Razowski, J. (1996). The Lepidoptera of Europe. A Distribution Checklist. 380 pp. Apollo Books, Stenstrup, Denmark.",,,,,,,,,,,,,,,,
_:br660479,bibo:Book,,,"Karsholt, O., & Razowski, J. (1996). The Lepidoptera of Europe. A Distribution Checklist. 380 pp. Apollo Books, Stenstrup, Denmark.",,,,,,,,,,,,,,,,
https://doi.org/10.37828/em.2022.53.6,bibo:AcademicArticle,,,"Ustjuzhanin, P., Kovtunovich, V., Müller, G., Prozorov, A. & Streltzov A. (2022). Plume Moths (Lepidoptera: Pterophoridae) of Ethiopia. Part 2. Ecologica Montenegrina, 53, 45–55.",,,,,,,,,,,,,,,,
https://doi.org/10.37828/em.2022.53.6,bibo:AcademicArticle,,,"Ustjuzhanin, P., Kovtunovich, V., Müller, G., Prozorov, A. & Streltzov A. (2022). Plume Moths (Lepidoptera: Pterophoridae) of Ethiopia. Part 2. Ecologica Montenegrina, 53, 45–55.",,,,,,,,,,,,,,,,
_:br713846,bibo:AcademicArticle,,,"Meyrick, E. (1886). On the classification of the Pterophoridae. Trans. Ent. Soc. London, 1886, 1–21.",,,,,,,,,,,,,,,,
_:br288760,bibo:AcademicArticle,,,"Meyrick, E. (1886). On the classification of the Pterophoridae. Trans. Ent. Soc. London, 1886, 1–21.",,,,,,,,,,,,,,,,
