localName,label,skos_inScheme,controlled_value_string,definition,usage,notes,examples,type
tcc,Taxon Concept Category Concept Scheme,tcc,,,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
tcc001,Original Concept,tcc,OriginalConcept,Appearing in the earliest reference where a new name\u2013type association was established,,,_Andropogon virginicus_ L. sec. Linnaeus (1753),http://www.w3.org/2004/02/skos/core#Concept
tcc002,Revisional Concept,tcc,RevisionalConcept,"Appearing in a comprehensive revision of an existing taxonomic name and  lineage, e.g. a monograph, a species webpage, or a field manual with  descriptions and illustrations.",,,_Andropogon virginicus_ L. sec. Campbell (1983),http://www.w3.org/2004/02/skos/core#Concept
tcc003,Relational Concept,tcc,RelationalConcept,"Appearing in a comprehensive hierarchy of concepts (typically without  descriptions and illustrations); therefore the meaning may be inferred  through parent/child relationships, or by examining the entire list of  mutually exclusive concepts.",,,_Andropogon virginicus_ L. sec. ITIS (2006). [an on-line taxonomic service],http://www.w3.org/2004/02/skos/core#Concept
tcc004,Informal Concept,tcc,InformalConcept,"Appearing in a taxonomic treatment, but poorly specified (mentioned 'in  passing'), or merely implied, being outside of the discussion of the focal  names and taxa.",,,_Andropogon hallii_ Hack. sec. Weakley (2006). [a Midwestern species],http://www.w3.org/2004/02/skos/core#Concept
tcc005,Nominal Concept,tcc,NominalConcept,Appearing outside of the context of a particular source (without a sec.) and  indirectly linking to all other concepts in which the name occurs.,,,_Andropogon virginicus_ L.,http://www.w3.org/2004/02/skos/core#Concept
