localName,label,skos_inScheme,controlled_value_string,definition,usage,notes,examples,type
ns,Nomenclatural Status Concept Scheme,ns,,,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
ns001,abortivum,ns,abortivum,"In taxonomy, a name which contravened the Code in operation at the time.",,,,http://www.w3.org/2004/02/skos/core#Concept
ns002,alternativum,ns,alternativum,An alternative name given in the original publication before 1953 based on the same type.,,,,http://www.w3.org/2004/02/skos/core#Concept
ns003,ambigua,ns,ambigua,"ambiguous name, one which has been used so long by different authors in different senses that it has become a persistent cause of error and  confusion.",,,,http://www.w3.org/2004/02/skos/core#Concept
ns004,available,ns,available,A name that is correctly proposed according to the International Code of  Zoological Nomenclature. An available name is not necessarily the valid  name.,,,,http://www.w3.org/2004/02/skos/core#Concept
ns005,combinatio,ns,combinatio,"The name is a new combination, i.e. a name change involving the epithet of  the basionym. ICBN: Name of the original author being kept within  parantheses.",,,,http://www.w3.org/2004/02/skos/core#Concept
ns006,confusum,ns,confusum,"A name rejected if it is based on a type consisting of two or more entirely  discordant elements, so that it is difficult to select a satisfactory  lectotype.",,,,http://www.w3.org/2004/02/skos/core#Concept
ns007,conservandum,ns,conservandum,"a scientific name that enjoys special nomenclatural protection, i.e. a name  conserved in respective code. names classed as available and valid by action  of the ICZN or ICBN exercising its Plenary Powers . Includes rulings to  conserve junior/later synonyms in place of rejected forgotten names (nomen  oblitum). Such names are entered on the Official Lists.",,,,http://www.w3.org/2004/02/skos/core#Concept
ns008,conservandumProp,ns,conservandumProp,,,,,http://www.w3.org/2004/02/skos/core#Concept
ns009,correctum,ns,correctum,"Corrected names or 'improved' names, available names which are mandatory and allowable emendations of imperfect names (qv) or of taxonomic names  higher than family (which are not subject to name form and ending  regulations). Do not depend on transfer in taxon rank or assignment. (= an  emended name).",,,,http://www.w3.org/2004/02/skos/core#Concept
