id,relationshipType,subjectTaxonConcept,objectTaxonConcept,relationshipAccordingTo,note
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.1,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt001,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.1,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.6,https://www.tropicos.org/reference/9022656,
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.2,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt002,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.1,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.7,https://www.tropicos.org/reference/9022656,"excl. *C. longicuspis (Lindb. & Arnell) Hedenäs (syn. *Amblystegium l. Lindb. & Arnell, *Drepanocladus l. (Lindb. & Arnell) Broth., Pseudoclliergon l. (Lindb. & Arnell) Loeske), da Hedenäs diese Kombination erst 1989 schuf. Es bleibt unklar zu welcher Gat"
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.3,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt004,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.1,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.8,https://www.tropicos.org/reference/9022656,incl. Amblystegium radicale (Chrysohypnum hygrophyllum); excl. * Campylium longicuspis (Lindb. & Arnell) Hedenäs (Drepanocladus l.).
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.4,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt004,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.1,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.9,https://www.tropicos.org/reference/9022656,incl. * Campylium longicuspis (Lindb. & Arnell) Hedenäs (Drepanocladus l.)
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.5,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt006,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.1,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.10,https://www.tropicos.org/reference/9022656,"incl. Amblystegium radicale (Campylium r.). Wahrscheinlich excl. *C. longicuspis (Lindb. & Arnell) Hedenäs. Dieses arktische Taxon wird vermutlich nicht in das Gattungskonzept einbezogen, da Hedenäs erst 1989 diese Kombination schuf. Es bleibt unklar zu w"
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.6,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt003,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.2,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.11,https://www.tropicos.org/reference/9022656,incl. Leptodictyum riparium (Amblystegium r.)
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.7,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt002,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.2,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.12,https://www.tropicos.org/reference/9022656,"excl. Amblystegium confervoides (Amblystegiella c.), A. subtile (Amblystegiella s.), A. fluviatile (Hygroamblystegium f.), A. tenax (Hygroambystegium t.), A. radicale (Campylium r.)"
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.8,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt002,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.2,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.13,https://www.tropicos.org/reference/9022656,
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.9,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt002,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.2,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.14,https://www.tropicos.org/reference/9022656,
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.10,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt004,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.2,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.15,https://www.tropicos.org/reference/9022656,"incl. Amblystegium confervoides (Amblystegiella c.), Amblystegium subtile (Amblystegiella s.)"
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.11,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt004,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.2,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.16,https://www.tropicos.org/reference/9022656,"incl. Amblystegium radicale (Campylium r.). Wahrscheinlich excl. *C. longicuspis (Lindb. & Arnell) Hedenäs. Dieses arktische Taxon wird vermutlich nicht in das Gattungskonzept einbezogen, da Hedenäs erst 1989 diese Kombination schuf. Es bleibt unklar zu w"
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.11,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt004,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.2,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.17,https://www.tropicos.org/reference/9022656,"incl. Conardia compacta (Amblystegium c.), *Isopterygiopsis alpicola (Lind. & Arnell) Hedenäs (Amblystegium a.), Leptodictyum riparium (Amblystegium r.), Platydictya jungermannioides (Amblystegium sprucei), Pseudoleskeella catenulata p.p. (Amblystegium ur"
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.12,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt004,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.2,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.8,https://www.tropicos.org/reference/9022656,incl. Amblystegium radicale (Chrysohypnum hygrophilum)
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.13,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt004,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.2,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.18,https://www.tropicos.org/reference/9022656,"incl. Conardia compacta (Amblystegium c.), Leptodictyum riparium (Amblystegium r.); excl. Amblystegium confervioides (Platydictya c.)"
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.14,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt004,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.2,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.19,https://www.tropicos.org/reference/9022656,incl. Amblystegium confervoides (Platydictya c.)
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.15,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt001,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.3,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.20,https://www.tropicos.org/reference/9022656,
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.16,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt003,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.3,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.15,https://www.tropicos.org/reference/9022656,"incl. Amblystegium confervoides (Amblystegiella c.), Amblystegium subtile (Amblystegiella s.), Amblystegium subtile (Amblystegiella s.)"
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.17,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt003,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.3,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.17,https://www.tropicos.org/reference/9022656,
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.18,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt003,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.3,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.21,https://www.tropicos.org/reference/9022656,"incl. Amblystegium confervoides, A. subtile, *Isopterygiopsis alpicola (Lindb. & Arnell) Hedenäs (Amblystegium a.), Pseudoleskeella catenulata (Amblystegium ursorum) sowie ^Homomallium adnatum (Hedw.) Broth. (Amblystegium a.), einem in Europa nicht nachge"
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.19,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt003,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.3,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.19,https://www.tropicos.org/reference/9022656,incl. Amblystegium confervoides (Platydictya c.)
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.20,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt001,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.4,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.22,https://www.tropicos.org/reference/9022656,
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.21,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt001,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.4,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.23,https://www.tropicos.org/reference/9022656,
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.22,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt003,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.4,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.11,https://www.tropicos.org/reference/9022656,
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.23,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt003,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.4,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.24,https://www.tropicos.org/reference/9022656,incl. Amblystegium humile
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.24,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt003,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.4,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.17,https://www.tropicos.org/reference/9022656,
https://tdwg.github.io/tcs2/examples/taxon-relationships/4.25,http://rs.tdwg.org/tcs-taxon-concept-relationship-type/values/rt003,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.4,https://tdwg.github.io/tcs2/examples/taxon-concepts/4.18,https://www.tropicos.org/reference/9022656,
