ID,taxonConceptLabel,taxonNameID,accordingToID,taxonRank,parentID
_:tc1,Rhododendron subgen. Pentanthera sec. Judd & Kron 1995,_:tn1,_:ref1,,
_:b15,Rhododendron sect. Pentanthera sec. Judd & Kron 1995,_:tn1,_:ref1,,_:tc1
_:tc2,Rhododendron sect. Sciadorhodion sec. Judd & Kron 1995,https://ipni.org/n/50985479-1,_:ref1,,_:tc1
_:tc000001,Rhododendron schlippenbachii sec. Judd & Kron 1995,https://ipni.org/n/333307-1,_:ref1,,_:tc1
_:tc000002,Rhododendron quinquefolium sec. Judd & Kron 1995,https://ipni.org/n/333193-1,_:ref1,,_:tc2
_:tc000003,Rhododendron pentaphyllum sec. Judd & Kron 1995,https://ipni.org/n/333062-1,_:ref1,,_:tc2
_:tc000004,Rhododendron albrechtii sec. Judd & Kron 1995,https://ipni.org/n/331902-1,_:ref1,,_:tc2
_:tc3,Rhodondendron sect. Viscidula sec. Judd & Cron 1995,_:tn6,_:ref1,,_:tc1
_:tc000005,Rhodondendron nipponicum sec. Judd & Cron 1995,https://ipni.org/n/332960-1,_:ref1,,_:tc3
_:tc4,Rhodondendron sect. Rhodora sec. Judd & Cron 1995,_:tn7,_:ref1,,_:tc1
_:tc000006,Rhodondendron vaseyi sec. Judd & Cron 1995,https://ipni.org/n/307873-2,_:ref1,,_:tc4
_:tc000007,Rhodondendron canadense sec. Judd & Cron 1995,https://ipni.org/n/1203750-2,_:ref1,,_:tc4
