ID,type,foaf_givenName,foaf_familyName,foaf_name,address_localityName
https://orcid.org/0000-0003-2209-0222,foaf:Person,K.A.,Kron,,
https://orcid.org/0000-0003-2391-2654,foaf:Person,W.S.,Judd,,
_:a990305,foaf:Group,,,,
