ID,nameString,scientificNameAuthorship,namePublishedIn,namePublishedInYear,nomenclaturalStatus,basionymID,replacedNameID,basedOnID
_:tn1,Rhododendron subgen. Pentanthera,(G. Don) Poyarkova,Fl. SSR 18: 57 (1952),,,_:tn2,,
_:tn2,Rhododendron sect. Pentanthera,,Gen. Syst. 3: 846 (1834),,,,,
_:tn447778,Azalea subgen. Pentanthera,(G. Don) Koch,Dendrol. 2: 186 (1872),,,_:tn2,,
https://ipni.org/n/14620-1,Anthodendron Rchb.,Rchb.,"Moessl. Handb. i. p. xl. 244, 308 (1827)",,,,,
_:tn849049,Rhododendron subgen. Anthodendron,Anthodendron (Reichenbach) Rehder,Monogr. Azaleas 115 (1921),,,https://ipni.org/n/14620-1,,
_:tn3,Rhododendron subgen. Pseudanthodendron,Sleumer,Bot. Jahrb. Syst. 74: 550 (1949),,,,,
https://ipni.org/n/332817-1,Rhododendron luteum,Sweet,"Hort. Brit. [Sweet], ed. 2. 343 (1830)",,,,,
https://ipni.org/n/50985479-1,Rhododendron sect. Sciadorhodion,Rehder & Wilson,Monogr. Azaleas 79 (1921),,,,,
_:tn762185,Azalea subgen. Sciadorhodion (Rehder & Wilson) Copeland,(Rehder & Wilson) Copeland,Am. Midi. Nat. 30: 597 (1943),,,https://ipni.org/n/50985479-1,,
https://ipni.org/n/333307-1,Rhododendron schlippenbachii,Maxim.,"Bull. Acad. Sci. St Pétersbourg, ser. 3 15 (1870)",,,,,
https://ipni.org/n/326933-1,Azalea schlippenbachii,(Maxim.) Kuntze,Revis. Gen.Pl. 2:387 (1891),,,https://ipni.org/n/333307-1,,
_:tn126602,Azalea schlippenbachii,(Maxim.) Kuntze,Revis. Gen.Pl. 2:387 (1891),,,https://ipni.org/n/333307-1,,
https://ipni.org/n/333193-1,Rhododendron quinquefolium,Bisset & S.Moore,J. Bot. 15: 292 (1877),,,,,
_:tn745569,Azalea quinquefolia,(Bisset & S.Moore) Olmsted et al.,Stand. Pl. Names 27 (1923),,,https://ipni.org/n/333193-1,,
https://ipni.org/n/950178-1,Rhododendron quinquefolium f. speciosum,N. Yonezawa,J. Phytogeogr. Taxon. 35(2): 101 (1987),,,,,
https://ipni.org/n/333062-1,Rhododendron pentaphyllum,Maxim.,"Bull. Acad. Sci. St Petersbourg, ser. 3, 31:65 (1887)",,,,,
https://ipni.org/n/326897-1,Azalea pentaphylla, (Maxim.) H.F.Copel.,,,,https://ipni.org/n/333062-1,,
_:tn4,Rhododendron pentaphyllum var. nikoense,Komatsu,"Icon. Pl. Koisikav. 3: 45, t 168 (1916)",,,,,
_:tn5,Rhododendron quinquefolium var. roseum,Rehder,"Bailey, Stand. Cycl. Hort. 5: 2947 (1916)",,,,,
https://ipni.org/n/950666-1,Rhododendron pentaphyllum var. shikokianum,T. Yamazaki,Jap. Bot. 63: 312 (1988),,,,,
https://ipni.org/n/331902-1,Rhododendron albrechtii,Maxim.,"Bull. Acad. Sci. Sci. St Pétersbourg, sér. 3, 15: 227 (1870)",,,,,
https://ipni.org/n/326708-1,Azalea albrechtii,(Maxim.) Kuntze,Revis. Gen.Pl. 2:387 (1892),,,https://ipni.org/n/331902-1,,
_:tn6,Rhododendron sect. Viscidula,Matsum. & Nakai,Bot. Mag. (Tokyo) 30: 289 (1916),,,,,
https://ipni.org/n/332960-1,Rhododendron nipponicum,Matsum,Bot. Mag. (Tokyo) 13: 17 (1899),,,,,
https://ipni.org/n/326879-1,Azalea nipponica,(Matsum.) H.F.Copel.,"Amer. Midl. Naturalist xxx. 595 (1943), in obs.",,,https://ipni.org/n/332960-1,,
_:tn7,Rhododendron sect. Rhodora,(L.) G.Don,Gen. Syst. 3: 848 (1834),,,https://ipni.org/n/14860-1,,
https://ipni.org/n/14860-1,Rhodora,L.,"Sp. Pl. ed. 2, 1: 561 (1762)",,,,,
https://ipni.org/n/14768-1,Hochenwartia,Crantz,Inst. Rei Herb. 2: 468 (1766),,,,,
_:tn232410,Azalea subgen. Rhodora,,,,,https://ipni.org/n/14860-1,,
https://ipni.org/n/307873-2,Rhododendron vaseyi,A.Gray,Proc. Amer. Acad. Arts 15: 48 (1879),,,,,
https://ipni.org/n/27677-2,Azalea vaseyi,(A.Gray) Rehder,Möller's Deutsche Gärtn.-Zeitung 14: 332 (1899),,,https://ipni.org/n/307873-2,,
https://ipni.org/n/33213-2,Biltia vaseyi,(A.Gray) Small,"Fl. S.E. U.S. [Small]. 884, 1336 (1903)",,,https://ipni.org/n/307873-2,,
https://ipni.org/n/219536-2,Rhododendron vaseyi f. album,Rehder,Mitt. Deutsch. Dendrol. Ges. 1915: 225 (1915),,,,,
https://ipni.org/n/1203750-2,Rhododendron canadense (L.) Torr.,(L.) Torr.,"Rep. Bot. Dep. Surv. New York, no. 50, Assembly 151 (1841)",,,https://ipni.org/n/311891-2,,
https://ipni.org/n/311891-2,Rhodora canadensis L.,L.,"Sp. Pl., ed. 2. 1: 561 (1762)",,,,,
https://ipni.org/n/330854-1,Hochenwartia canadensis,Crantz,Inst. Rei Herb. 2: 469 (1766),,,https://ipni.org/n/311891-2,,
https://ipni.org/n/27635-2,Azalea canadensis,(L.) Kuntze,Revis. Gen. Pl. 2: 386 (1891),,,https://ipni.org/n/311891-2,,
https://ipni.org/n/333228-1,Rhododendron rhodora,J.F.Gmel.,"Syst. Nat., ed. 13[bis]. 2(1): 694 (1791)",,superfluous,,,
https://ipni.org/n/219524-2,Rhododendron rhodora f. albiflorum,E.L.Rand & Redfield,Fl. Mt. Desert Isl. 127 (1894),,,,,
https://ipni.org/n/219458-2,Rhododendron canadense f. albiflorum,(E.L.Rand & Redfield) Rheder,Monogr. Azaleas [E.H. Wilson & A. Rehder] 122 (1921),,,https://ipni.org/n/219524-2,,
_:tn8,Rhododendron canadense f. album,Voss,Vilmorin's Blumengartn. 1: 587 ([1894-]1896),,,,,
https://ipni.org/n/219459-2,Rhododendron canadense f. viridifolium,Fernald,Monogr. Azaleas [E.H. Wilson & A. Rehder] 122 (1921),,,,,
_:tn9,Rhododendron flavum,G.Don,,,,,,
