id,controlledTerm,label
http://rs.gbif.org/vocabulary/gbif/type_status/allolectotype,allolectotype,allolectotype
http://rs.gbif.org/vocabulary/gbif/type_status/alloneotype,alloneotype,alloneotype
http://rs.gbif.org/vocabulary/gbif/type_status/allotype,allotype,allotype
http://rs.gbif.org/vocabulary/gbif/type_status/cotype,cotype,cotype
http://rs.gbif.org/vocabulary/gbif/type_status/epitype,epitype,epitype
http://rs.gbif.org/vocabulary/gbif/type_status/exepitype,exepitype,exepitype
http://rs.gbif.org/vocabulary/gbif/type_status/exholotype,exholotype,exholotype
http://rs.gbif.org/vocabulary/gbif/type_status/exisotype,exisotype,exisotype
http://rs.gbif.org/vocabulary/gbif/type_status/exlectotype,exlectotype,exlectotype
http://rs.gbif.org/vocabulary/gbif/type_status/exneotype,exneotype,exneotype
http://rs.gbif.org/vocabulary/gbif/type_status/exparatype,exparatype,exparatype
http://rs.gbif.org/vocabulary/gbif/type_status/exsyntype,exsyntype,exsyntype
http://rs.gbif.org/vocabulary/gbif/type_status/extype,extype,extype
http://rs.gbif.org/vocabulary/gbif/type_status/hapantotype,hapantotype,hapantotype
http://rs.gbif.org/vocabulary/gbif/type_status/holotype,holotype,holotype
http://rs.gbif.org/vocabulary/gbif/type_status/iconotype,iconotype,iconotype
http://rs.gbif.org/vocabulary/gbif/type_status/isolectotype,isolectotype,isolectotype
http://rs.gbif.org/vocabulary/gbif/type_status/isosyntype,isosyntype,isosyntype
http://rs.gbif.org/vocabulary/gbif/type_status/isotype,isotype,isotype
http://rs.gbif.org/vocabulary/gbif/type_status/lectotype,lectotype,lectotype
http://rs.gbif.org/vocabulary/gbif/type_status/neotype,neotype,neotype
http://rs.gbif.org/vocabulary/gbif/type_status/notatype,notatype,notatype
http://rs.gbif.org/vocabulary/gbif/type_status/originalmaterial,originalmaterial,originalmaterial
http://rs.gbif.org/vocabulary/gbif/type_status/paralectotype,paralectotype,paralectotype
http://rs.gbif.org/vocabulary/gbif/type_status/paraneotype,paraneotype,paraneotype
http://rs.gbif.org/vocabulary/gbif/type_status/paratype,paratype,paratype
http://rs.gbif.org/vocabulary/gbif/type_status/plastoholotype,plastoholotype,plastoholotype
http://rs.gbif.org/vocabulary/gbif/type_status/plastoisotype,plastoisotype,plastoisotype
http://rs.gbif.org/vocabulary/gbif/type_status/plastolectotype,plastolectotype,plastolectotype
http://rs.gbif.org/vocabulary/gbif/type_status/plastoneotype,plastoneotype,plastoneotype
http://rs.gbif.org/vocabulary/gbif/type_status/plastoparatype,plastoparatype,plastoparatype
http://rs.gbif.org/vocabulary/gbif/type_status/plastosyntype,plastosyntype,plastosyntype
http://rs.gbif.org/vocabulary/gbif/type_status/plastotype,plastotype,plastotype
http://rs.gbif.org/vocabulary/gbif/type_status/secondarytype,secondarytype,secondarytype
http://rs.gbif.org/vocabulary/gbif/type_status/supplementarytype,supplementarytype,supplementarytype
http://rs.gbif.org/vocabulary/gbif/type_status/syntype,syntype,syntype
http://rs.gbif.org/vocabulary/gbif/type_status/topotype,topotype,topotype
http://rs.gbif.org/vocabulary/gbif/type_status/type,type,type
http://rs.gbif.org/vocabulary/gbif/type_status/typeSpecies,typeSpecies,typeSpecies
http://rs.gbif.org/vocabulary/gbif/type_status/typeGenus,typeGenus,typeGenus
