ID,type,foaf_givenName,foaf_familyName,foaf_name,address_localityName
https://www.wikidata.org/wiki/Q21339909,foaf:Person,Benito Ching,Tan,,
https://www.wikidata.org/wiki/Q5411655,foaf:Person,Timo Juhani,Koponen,,
https://www.wikidata.org/wiki/Q21511351,foaf:Person,Alan,Eddy,,
https://www.wikidata.org/wiki/Q21522236,foaf:Person,Daniel Howard,Norris,,
https://orcid.org/0000-0003-2224-6821,foaf:Person,Niels,Klazenga,,
_:a841285,foaf:Group,,,,
_:a548316,foaf:Organization,,,Natural History Museum Publications,London
_:a841342,foaf:Group,,,,
