ID,type,dwc:country,dwc:stateOrProvince,dwc:island,dwc:verbatimLocality,dwc:habitat,dwc:minimumElevationInMeters,dwc:maximumElevationInMeters,dwc:recordedBy,dwc:recordNumber,dwc:institutionCode,dwc:collectionCode,dwc:catalogNumber,dwc:disposition,sourceID
_:ts000001,dwc:MaterialCitation,Indonesia,,,"Mt. Arfak ad Hatam, 5000-7000'",,,,O. Beccari,167,B,,,destroyed,https://tropicos.org/reference/9020903
_:ts000002,dwc:MaterialCitation,Indonesia,,,"Mt. Arfak ad Hatam, 5000-7000'",,,,O. Beccari,167,H-BR,,,,https://tropicos.org/reference/9020903
_:ts000003,dwc:MaterialCitation,Indonesia,,,"Mt. Arfak ad Hatam, 5000-7000'",,,,O. Beccari,167,FH-FL,,,,https://tropicos.org/reference/9020903
_:ts000004,dwc:MaterialCitation,Indonesia,,,"Mt. Arfak ad Hatam, 5000-7000'",,,,O. Beccari,167,L,,,,https://tropicos.org/reference/9020903
_:ts000005,dwc:MaterialCitation,Indonesia,,,"Mt. Arfak ad Hatam, 5000-7000'",,,,O. Beccari,167,S,,,,https://tropicos.org/reference/9020903
_:ts000006,dwc:MaterialCitation,Indonesia,,Java,,,,,Junghuhn,s.n.,BM,,,,https://tropicos.org/reference/9020903
_:ts000007,dwc:MaterialCitation,Indonesia,,Java,,,,,Junghuhn,s.n.,L,,,,https://tropicos.org/reference/9020903
_:ts000008,dwc:MaterialCitation,Indonesia,Sumatra Barat,Sumatra,West Sumatra,,,,"Micholitz, W.",48,B,,,destroyed,https://tropicos.org/reference/9020903
_:ts000009,dwc:MaterialCitation,Indonesia,Sumatra Barat,Sumatra,West Sumatra,,,,"Micholitz, W.",48,BM,,,,https://tropicos.org/reference/9020903
_:ts000010,dwc:MaterialCitation,Indonesia,Sumatra Barat,Sumatra,West Sumatra,,,,"Micholitz, W.",48,FH,FH-FL,,,https://tropicos.org/reference/9020903
_:ts000011,dwc:MaterialCitation,Indonesia,Sumatra Barat,Sumatra,West Sumatra,,,,"Micholitz, W.",48,H,H-BR,,,https://tropicos.org/reference/9020903
_:ts000012,dwc:MaterialCitation,Indonesia,Sumatra Barat,Sumatra,West Sumatra,,,,"Micholitz, W.",48,S,,,,https://tropicos.org/reference/9020903
