ID,type,bibo:handle,dcterms:title,dcterms:bibliographicCitation,dcterms:date
https://www.tropicos.org/reference/9022656,bibo:Book,Koperski et al. 2000,"Referenzliste der Moose Deutschlands, Dokumentation unterschiedlicher taxonomischer Auffassungen","Koperski, M.; Sauer, M.; Braun, W.; Gradstein, S.R. (2000). Referenzliste der Moose Deutschlands, Dokumentation unterschiedlicher taxonomischer Auffassungen. Schriftenreihe für Vegetationskunde 34. Bundersamt für Naturschutz, Bonn-Bad Godesberg. 519 pp. isbn 3-7843-3504-7",2000
https://www.tropicos.org/reference/9004554,bibo:AcademicArticle,Corley et al. 1981,"Mosses of Europe and the Azores; an annotated list of species, with synonyms from the recent literature","Corley, M.F.V.; Crundwell, A.C.; Düll, D.; Hill, M.O.; Smith, A.J.E. (1981). Journal of Bryology 11: 609-689.",1981
https://www.tropicos.org/reference/9010070,bibo:AcademicArticle,Corley & Crundwell 1991,Additions and amendments of the mosses of Europe and the Azores,"Corley, M.F.V.; Crundwell, A.C. (1991). Additions and amendments of the mosses of Europe and the Azores. Journal of Bryology 16: 337-356.",1991
https://www.tropicos.org/reference/9011497,bibo:Book,Frahm & Frey 1992,Moosflora,"Frahm, J.-P.; Frey, W. (1992). Moosflora. Uni-Taschenb., 3. Aufl. Ulmer, Stuttgart.",1992
https://www.tropicos.org/reference/9007023,bibo:Book,,The moss flora of Britain and Ireland,,1978
https://www.tropicos.org/reference/9021085,bibo:Book,,Die Laubmoose Europas,,1927
