ID,taxonNameID,accordingToID,taxonConceptLabel,taxonRank,parentID,parent
_:tc31,zoobank:29a6803b-c1d8-4460-96c7-cc006095413f,https://doi.org/10.1111/j.1469-7998.1904.tb08288.x,Giraffa sec. Lydekker 1904,genus,,
_:tc0,_:tn0,https://doi.org/10.1111/j.1469-7998.1904.tb08288.x,Giraffa reticulata sec. Lydekker 1904,species,,_:tc31
_:tc1,_:tn1,https://doi.org/10.1111/j.1469-7998.1904.tb08288.x,Giraffa camelopardalis sec. Lydekker 1904,species,,_:tc31
_:tc2,_:tn2,https://doi.org/10.1111/j.1469-7998.1904.tb08288.x,Giraffa camelopardalis typica sec. Lydekker 1904,subspecies,,_:tc1
_:tc3,_:tn3,https://doi.org/10.1111/j.1469-7998.1904.tb08288.x,Giraffa camelopardalis antiquorum sec. Lydekker 1904,subspecies,,_:tc1
_:tc4,zoobank:9cba7e21-4f14-4354-b559-36b7db538c08,https://doi.org/10.1111/j.1469-7998.1904.tb08288.x,Giraffa camelopardalis cottoni sec. Lydekker 1904,subspecies,,_:tc1
_:tc5,zoobank:a3492a30-8739-4b4e-8e6f-5c09e2c34315,https://doi.org/10.1111/j.1469-7998.1904.tb08288.x,Giraffa camelopardalis rothchildi sec. Lydekker 1904,subspecies,,_:tc1
_:tc6,_:tn6,https://doi.org/10.1111/j.1469-7998.1904.tb08288.x,Giraffa camelopardalis tippelskirchi sec. Lydekker 1904,subspecies,,_:tc1
_:tc7,zoobank:38db2575-317c-4f7c-b0d0-5a85250e5f1f,https://doi.org/10.1111/j.1469-7998.1904.tb08288.x,Giraffa camelopardalis congoensis sec. Lydekker 1904,subspecies,,_:tc1
_:tc8,zoobank:c8aeee34-3551-4227-871c-13f2a52bcf02,https://doi.org/10.1111/j.1469-7998.1904.tb08288.x,Giraffa camelopardalis angolensis sec. Lydekker 1904,subspecies,,_:tc1
_:tc9,zoobank:0477d1d3-3602-4bec-b4a3-11d108886065,https://doi.org/10.1111/j.1469-7998.1904.tb08288.x,Giraffa camelopardalis wardi sec. Lydekker 1904,subspecies,,_:tc1
_:tc10,_:tn10,https://doi.org/10.1111/j.1469-7998.1904.tb08288.x,Giraffa camelopardalis capensis sec. Lydekker 1904,subspecies,,_:tc1
_:tc11,zoobank:a1d014fd-cdbf-4eaf-a979-100186fc2f41,https://doi.org/10.1111/j.1469-7998.1904.tb08288.x,Giraffa camelopardalis peralta sec. Lydekker 1904,subspecies,,_:tc1
_:tc34,zoobank:29a6803b-c1d8-4460-96c7-cc006095413f,https://doi.org/10.2307/3503830,Giraffa sec. Dagg 1971,genus,,
_:tc35,_:tn1,https://doi.org/10.2307/3503830,Giraffa camelopardalis sec. Dagg 1971,species,,_:tc34
_:tc36,_:tn2,https://doi.org/10.2307/3503830,Giraffa camelopardalis camelopardalis sec. Dagg 1971,subspecies,,_:tc35
_:tc37,_:tn3,https://doi.org/10.2307/3503830,Giraffa camelopardalis antiquorum sec. Dagg 1971,subspecies,,_:tc35
_:tc38,zoobank:a1d014fd-cdbf-4eaf-a979-100186fc2f41,https://doi.org/10.2307/3503830,Giraffa camelopardalis peralta sec. Dagg 1971,subspecies,,_:tc35
_:tc39,zoobank:3ac03875-1c25-49a5-96c5-981b87cfa73a,https://doi.org/10.2307/3503830,Giraffa camelopardalis reticulata sec. Dagg 1971,subspecies,,_:tc35
_:tc40,zoobank:a3492a30-8739-4b4e-8e6f-5c09e2c34315,https://doi.org/10.2307/3503830,Giraffa camelopardalis rothschildii sec. Dagg 1971,subspecies,,_:tc35
_:tc41,_:tn6,https://doi.org/10.2307/3503830,Giraffa camelopardalis tippelskirchi sec. Dagg 1971,subspecies,,_:tc35
_:tc42,zoobank:154d50db-6186-4760-b298-856af70de7b8,https://doi.org/10.2307/3503830,Giraffa camelopardalis thornicrofti sec. Dagg 1971,subspecies,,_:tc35
_:tc43,zoobank:c8aeee34-3551-4227-871c-13f2a52bcf02,https://doi.org/10.2307/3503830,Giraffa camelopardalis angolensis sec. Dagg 1971,subspecies,,_:tc35
_:tc44,_:tn30,https://doi.org/10.2307/3503830,Giraffa camelopardalis giraffa sec. Dagg 1971,subspecies,,_:tc35
_:tc32,zoobank:29a6803b-c1d8-4460-96c7-cc006095413f,urn:isbn:978-1-4214-0093-8,Giraffa sec. Groves & Grubb 2011,genus,,
_:tc12,_:tn1,urn:isbn:978-1-4214-0093-8,Giraffa camelopardalis sec. Groves & Grubb 2011,species,,_:tc32
_:tc13,_:tn0,urn:isbn:978-1-4214-0093-8,Giraffa reticulata sec. Groves & Grubb 2011,species,,_:tc32
_:tc14,_:tn17,urn:isbn:978-1-4214-0093-8,Giraffa antiquorum sec. Groves & Grubb 2011,species,,_:tc32
_:tc15,_:tn19,urn:isbn:978-1-4214-0093-8,Giraffa peralta sec. Groves & Grubb 2011,species,,_:tc32
