id,taxonNameString,scientificNameAuthorship,namePublishedIn,basionym,basionym lookup,nomenclaturalStatus
1,Amblystegium,Schimp.,Bryol. Eur. 6: 45 (1853),7,Hypnum sect. Campylium,
2,Campylium,(Sull.) Mitt.,"J. Linn. Soc., Bot. 12: 631 (1809)",,,
3,Platydictya,Berk.,Handb. Brit. Mosses: 145 (1863),,,
4,Leptodictyum,(Schimp.) Warnst.,"Krypt.-Fl. Brandenburg, Laubm. 2: 840 (1906)",14,Amblystegium subg. Leptodictyum,
5,Conardia,H.Rob.,Phytologia 33: 294 (1976),,,
6,Hygroamblystegium,Loeske,,,,
7,Hypnum sect. Campylium,Sull.,"Man. Bot. (A. Eaton), ed. 2: 677 (1856)",,,
8,Campyliadelphus,(Kindb.) R.S.Chopra,,,,
9,Campylophyllum,(Schimp.) M.Fleisch.,,,,
10,Chrysohypnum,G.Roth,,,,
11,Drepanocladus,(Müll.Hal.) G.Roth,,,,
12,Amblystegiella,Loeske,,,,superfluum
13,Amblystegium sect. Serpoleskea,Hampe,,,,
14,Amblystegium subg. Leptodictyum,Schimp.,Syn. Musc. Eur.: 595 (1860),,,
15,Rhynchostegiella,(Schimp.) Limpr.,Laubm. Deutschl. 3: 207 (1896),,,conservandum
