ID,nameString,scientificNameAuthorship,namePublishedInLiteral,namePublishedInYear,nomenclaturalStatus,basionymID,replacedNameID,basedOnID
https://ipni.org/n/30001382-2,Aspleniaceae,Newman,Hist. Brit. Ferns 6,1840,,,,
https://ipni.org/n/30000361-2,Athyriaceae,Alston,Taxon 5: 25,1956,,,,
https://ipni.org/n/30002151-2,Blechnaceae,Newman,"Hist. Brit. Ferns, ed. 2 8",1844,,,,
https://ipni.org/n/20001946-1,Cystopteridaceae,(Payer) Shmakov,Turczaninowia 4(1-2): 60,2001,,,,
https://ipni.org/n/17434830-1,Dennstaedtiaceae,Pic.Serm.,Webbia 24(2): 704,1970,,,,
https://ipni.org/n/77110538-1,Diplaziopsidaceae,X.C.Zhang & Christenh.,Phytotaxa 19: 15,2011,,,,
https://ipni.org/n/30014148-2,Dryopteridaceae,Herter,Revista Sudamer. Bot. 9: 15,1949,,,,
https://ipni.org/n/77114955-1,Hemidictyaceae,Christenh. & H.Schneid.,Phytotaxa 28: 51,2011,,,,
https://ipni.org/n/17446060-1,Onocleaceae,Pic.Serm.,Webbia 24(2): 708,1970,,,,
https://ipni.org/n/17436290-1,Onocleoideae,B.K.Nayar,Taxon 19: 235,1970,,,,
https://ipni.org/n/77110539-1,Rhachidosoraceae,X.C.Zhang,Phytotaxa 19: 16,2011,,,,
https://ipni.org/n/30000455-2,Thelypteridaceae,Pic.Serm.,Webbia 24(2): 709,1970,,,,
https://ipni.org/n/60456504-2,Woodsiaceae,Herter,Revista Sudamer. Bot. 9: 14,1949,,,,
