ID,type,foaf:givenName,foaf:familyName,foaf:name,address:localityName
https://orcid.org/0000-0003-1398-8743,foaf:Person,,Christenhusz,,
https://ipni.org/a/4063-1,foaf:Person,,Holttum,,
https://ipni.org/a/14414-1,foaf:Person,,Kato,,
https://orcid.org/0000-0002-6677-5234,foaf:Person,,Korall,,
https://ipni.org/a/20030162-1,foaf:Person,,Kuo,,
_:b50,foaf:Person,,Larsson,,
https://ipni.org/a/23960-1,foaf:Person,,Nayar,,
https://ipni.org/a/7667-1,foaf:Person,,Pichi Sermolli,,
https://orcid.org/0000-0002-9776-6736,foaf:Person,,Pryer,,
https://orcid.org/0000-0002-6605-1770,foaf:Person,,Rothfels,,
https://ipni.org/a/40553-1,foaf:Person,,Schneider,,
https://orcid.org/0000-0003-3891-9904,foaf:Person,,Schuetpelz,,
https://ipni.org/a/9771-1,foaf:Person,,Smith,,
https://orcid.org/0000-0003-1568-150X,foaf:Person,,Sundue,,
_:b53,foaf:Person,,Wolf,,
https://orcid.org/0000-0003-3425-1011,foaf:Person,,Zhang,,
_:a616528,foaf:Group,,,,
_:a587034,foaf:Group,,,,
_:a356243,foaf:Group,,,,
